1:5,3,7,8,3,2,2,7,5,4,5,1,5,5,9,6,9,2,5,5,4,4,3,1,2,6,6,9,8,5
2:7,8,7,2,4,3,9,1,6,3,4,9,1,7,4,1,1,3,5,4,5,2,5,9,5,3,6,9,1,9
3:9,7,7,3,5,7,8,8,3,1,1,8,4,4,3,9,1,9,3,1,2,9,7,1,1,2,4,4,5,8
4:4,7,4,2,7,7,8,8,3,6,1,6,6,2,7,3,8,2,5,1,9,6,4,7,9,1,2,9,7,9
5:4,1,9,3,8,8,4,2,2,4,1,2,3,9,6,2,7,5,6,3,7,5,7,9,5,9,9,5,4,9
6:7,9,6,4,4,6,2,4,7,1,3,4,9,1,9,7,4,2,8,7,7,1,3,7,7,1,7,6,6,1
7:2,4,5,1,8,2,6,4,9,3,9,4,5,7,8,1,1,3,5,3,6,1,6,7,7,3,6,7,9,4
8:3,3,3,8,6,2,5,6,7,6,2,9,5,7,4,5,7,4,6,2,5,1,4,9,5,3,1,3,3,9
9:5,6,5,6,8,7,7,2,1,5,5,5,7,9,3,5,9,6,3,9,5,3,5,6,5,5,6,3,2,2
10:4,1,3,1,7,6,5,1,1,4,3,3,3,1,3,5,4,2,3,7,9,2,2,7,4,3,7,1,5,9
11:7,9,8,6,6,9,7,2,4,4,1,2,1,2,2,7,6,9,2,8,7,2,8,4,9,2,2,5,8,4
12:7,4,3,7,6,6,2,7,9,5,4,8,2,9,6,9,8,3,9,4,7,1,1,8,8,2,7,5,9,6
13:4,8,3,4,7,3,1,5,7,9,5,2,4,6,3,8,3,4,9,7,8,8,1,6,9,6,2,1,8,8
14:7,7,1,3,1,7,6,6,4,5,9,1,9,8,3,1,6,7,8,8,5,2,9,1,2,4,6,3,3,4
15:5,5,3,8,3,5,1,9,7,3,1,9,6,7,7,1,9,8,7,8,8,9,6,8,4,7,2,8,1,1
16:9,2,7,1,9,1,3,2,8,9,4,3,8,8,7,6,3,8,8,5,6,2,2,5,2,2,8,9,6,4
17:2,2,6,5,2,5,8,7,4,6,6,6,8,1,4,5,3,1,8,1,8,4,2,8,4,5,2,9,4,3
18:9,3,9,4,1,3,5,9,9,1,9,8,1,7,8,2,6,5,9,4,4,3,3,2,5,7,5,1,2,9
19:6,1,5,8,4,4,2,1,9,5,9,1,6,1,2,3,5,3,8,1,1,1,7,4,8,9,6,5,6,1
20:9,7,5,9,4,2,7,7,2,6,6,8,2,6,4,3,2,4,5,3,7,2,6,8,9,2,7,6,5,8
21:8,1,9,8,6,5,6,1,4,6,6,7,9,2,7,5,6,8,1,1,5,4,3,5,7,8,2,3,6,3
22:1,4,2,1,2,1,4,3,1,7,3,2,8,9,4,3,2,7,1,2,3,4,4,3,2,7,7,2,7,4
